New York City,"{0.48484123421266834: 4.109188768096984, 0.5007788936065528: 4.051358949090921, 0.5086843698613543: 3.933627889466086, 0.6203550231376546: 3.6291848143603067, 0.7647179974812405: 2.8541431974881304, 0.9413102222566138: 2.3798350476839785, 1.1567564803339878: 2.0973661773477863, 1.4216608888997475: 1.7097911923182458, 1.7471343865920321: 1.523817818283154, 2.1466843388298997: 1.3628091322079592, 2.6374580924189157: 1.2648771585211478, 3.239296272283455: 1.1745165151627266, 3.9813278682013844: 1.0728414309841714, 4.892074744772592: 1.0007309505706654, 6.0055782435170775: 0.860442891389076, 7.3778938877058575: 0.7145759353299654, 9.065038344359072: 0.6203714353917066, 11.104301466345719: 0.5763429092521671, 13.557167591489689: 0.5051810707583622, 16.621919514387343: 0.437700356234914}"
Los Angeles,"{1.0743986769753735: 2.7542651274076837, 1.0930741092711482: 2.7587544462222535, 1.0965948044768057: 2.728359641014184, 1.121073036106419: 2.6670314442287655, 1.1466127919845481: 2.607295667858537, 1.177548918158295: 2.556493462892593, 1.1892029242511513: 2.6499454734763157, 1.2921968219249838: 2.5546952753700305, 1.4050180562316508: 2.476739275946912, 1.5293836175852185: 2.356219327365433, 1.664617249613301: 2.2542787664852972, 1.809490637798763: 2.1874039923567574, 1.966377156108928: 2.1401169841755627, 2.137529941097289: 2.0696610946904017, 2.3214926004044742: 2.146692205487305, 2.5222823649689143: 2.1075684162801513, 2.7394887936522205: 2.0687150453942027, 2.9765663738755106: 2.0397641293532236, 3.232607190846207: 2.031530088188582, 3.512588748245847: 1.902749140819616, 3.8153356910440483: 1.8895346279882401, 4.144518361403383: 1.8114673007275548, 4.501713401901798: 1.5135325488259903, 4.890591048187046: 1.5472486988911156, 5.311885354043328: 1.5449999716100584, 5.768473034680909: 1.3544705766759424, 6.266087870036052: 1.3489136456573518, 6.808139795122682: 1.4573222168295095, 7.39464823141719: 1.4727745383824666, 8.031425815852604: 1.4290660699998596, 8.723624233346685: 1.2681492565154135, 9.474771806292763: 1.0758405503819168, 10.292465731681839: 0.8903994035884217, 11.180130863962537: 0.7610256958095729, 12.142766251577397: 0.6927935655983392, 13.189498676776054: 0.5922010163611169, 14.325674839175115: 0.5121194453132997, 15.55990364088456: 0.4679576149511777, 16.899437448721873: 0.3813622670299518, 18.356420353220077: 0.31411116666971284, 19.934178100110685: 0.2949980751940754, 21.648740962089395: 0.287626267670681, 23.5104205426015: 0.2613089471847595, 25.539816889368918: 0.2480120356937137, 27.739756523337753: 0.2620232745782859, 30.136124840639233: 0.27595380376494827, 32.719770163502766: 0.24538166782602117, 35.533622476261975: 0.19673731392389066, 38.57577879362739: 0.198478137043193, 41.90495900845505: 0.2109402826792505}"
Chicago,"{0.8549389645810281: 4.4548978342918, 0.8777526388086041: 4.3767688724996345, 0.8913050990959834: 4.397856177932271, 0.9093908538222514: 3.8282587835838613, 0.9866297340118092: 3.7057268403613106, 1.0971020121481425: 2.5145287207541913, 1.2110233009164324: 2.5142031880470843, 1.3325337111291404: 2.5493758884861504, 1.4703837735837382: 3.513524029142247, 1.6189106975140541: 2.832826323838054, 1.7840359979880147: 2.7340879761514056, 1.9725203087091014: 2.5921749919421138, 2.169051543030164: 2.20604612635385, 2.3960092093613925: 2.1513919524077307, 2.636138892876439: 2.0207266408586007, 2.9146212523486503: 2.0417709541726308, 3.204796218022162: 1.8184371927602117, 3.5438824838175274: 1.6727770924789427, 3.9076048392776728: 1.6751399101220903, 4.301776671929219: 1.5919486504836073, 4.7424922211391065: 1.5347999610865237, 5.230405079667348: 1.4253850338168732, 5.766383240879279: 1.331023686583647, 6.36159889281003: 1.2300112365174807, 7.016610961702639: 1.1734895092046427, 7.7357547916565395: 1.134830213990673, 8.527229906095574: 1.1422122832308546, 9.404792468186397: 1.0847871552990762, 10.369939828733573: 0.9042968892281795, 11.432883935737031: 0.7708335295265659, 12.605862547826957: 0.7174451940397, 13.896209849631049: 0.6776146574349771, 15.319066727316397: 0.6007968244204676, 16.892760539821968: 0.5240768305866476, 18.62709792715359: 0.46661527063860636, 20.538827102306904: 0.43261140159639144, 22.64463715119582: 0.41115790780738515, 24.9596410455862: 0.4045606548386471, 27.51265901081294: 0.3738003744453218, 30.32009135317094: 0.3382861229933222}"
Houston,"{1.3820284815697295: 4.782160749712555, 1.3997821666432813: 4.776178514965644, 1.4288999201783206: 4.6752912701589135, 1.5216364516163476: 4.576260510050906, 1.658429099230232: 4.361274684572012, 1.8103572633379017: 4.225893332894114, 1.9729104800675572: 4.04240022076521, 2.150197353083227: 3.710198537582906, 2.342881454223196: 3.3995070994397203, 2.5568572753401075: 3.21637558499354, 2.783087117376158: 3.313877197484608, 3.0326872451767453: 3.2136242550609864, 3.3032852401393225: 2.9959378329024804, 3.600115395675426: 2.926875419633334, 3.9192939019585666: 2.713221609410578, 4.273038059568512: 2.503473957601432, 4.650458756658863: 2.2709861469480046, 5.068741930483564: 2.022309837768909, 5.52369437341275: 1.9791815078901869, 6.015896734975963: 1.8300472068101037, 6.555247739500322: 1.609719651514958, 7.137255085169685: 1.5983416818852256, 7.778320079695908: 1.4672080302957708, 8.473124890179601: 1.2888017516205235, 9.229597047061022: 1.1523328335591447, 10.053275425310526: 1.0642767654429584, 10.950763219024505: 0.9954440598703265, 11.934750702133123: 0.9307193860996563, 13.001724157471369: 0.8452471256294832, 14.162546883836905: 0.756564802110737, 15.427967101859675: 0.7102801661898641, 16.80564370357802: 0.6676800845536415, 18.306404818847785: 0.5957654465065704, 19.937587111057052: 0.5366177351893442, 21.713333597799952: 0.4906076423389558, 23.64584752814533: 0.43872986226516525, 25.75806152886928: 0.41141124059291345, 28.04992566132628: 0.3752029916003142, 30.539667374048985: 0.32907062127754433, 33.25777743450058: 0.30619353323325643}"
Boston,"{1.1743255590410946: 3.899025365182922, 1.462569887069049: 3.126497612464235, 1.8253076526177459: 2.7824304623321487, 2.2816414719958895: 2.269218518486019, 2.8441005367097305: 1.7877905129730653, 3.5505482280788248: 1.5223649909483525, 4.427823287720185: 1.393024289245999, 5.519326164987825: 1.1618074598956105, 6.8771240154382: 0.9538050791311573, 8.561987703915728: 0.7930338123744248, 10.678122871666954: 0.6664932635492299, 13.402001054585787: 0.5364421370942853, 16.786679056553968: 0.40119283506314724, 20.90760664117818: 0.29721579172962015, 25.567615163230872: 0.26774415605855373}"
Phoenix,"{1.4563960282795845: 3.9703755922078985, 1.4867537334220458: 3.8063783897459897, 1.5349406176801272: 3.7220128515822246, 1.5507145722817997: 3.380129774005285, 1.6427790961045703: 3.3747091153680517, 1.7651725141942716: 3.28985901946958, 1.897256360940308: 3.189835518204772, 2.074709927767329: 2.990827445388431, 2.2560467743538037: 2.8536358488078073, 2.448845790492377: 2.706469466662867, 2.6452065014252018: 2.707513052251776, 2.862143137464587: 2.440052523611417, 3.0975999796927174: 2.2819265783843554, 3.354295178969991: 2.2368754519044898, 3.6334048967566503: 2.1325018440372556, 3.9481265197377753: 1.9976964593992907, 4.249719114269404: 1.8435350686543985, 4.600854512444796: 1.7574072099839797, 5.013718360601202: 1.7062339879529638, 5.400049692049469: 1.609314474011676, 5.868276461834731: 1.5063327362741696, 6.328657485790379: 1.436764819342644, 6.883265812932979: 1.3903662050004943, 7.4073013222295065: 1.3184957483339248, 8.052181173766495: 1.2981966910304104, 8.706728166930127: 1.2229945979158463, 9.401968384701927: 1.1622024078726712, 10.20005673293654: 1.0777052481103027, 11.057022036484932: 0.986080299859433, 11.972845764738285: 0.9067507857366641, 12.956696893373408: 0.8145976486963495, 14.02009283770699: 0.7638735115026176, 15.172361267016365: 0.7175344012743947, 16.420952877956427: 0.6711926043472097, 17.78142279087985: 0.6183422887754513, 19.24837661246261: 0.575303023085341, 20.836595290674303: 0.5299417995099317, 22.565119039454114: 0.4985577410887988, 24.42503972054397: 0.4845429494369725, 26.42926809744158: 0.45982277140157596, 28.60745163269314: 0.44622629293540733, 30.967034514534664: 0.4155516214171094, 33.50915042675116: 0.37593472802287964, 36.2667817595121: 0.3675844782380715, 39.24593251113723: 0.36385428163670863}"
Philadelphia,"{0.6295084061634995: 2.289767758938128, 0.6401618775035764: 2.259477444325611, 0.6477267158309999: 2.197797863422863, 0.6697371880976085: 2.1131862045724037, 0.7067944947071292: 2.1177157682166396, 0.7762399160607306: 2.0572107672480473, 0.8540850437676659: 2.036757400534629, 0.9443532971579601: 1.9500555022423196, 1.0421892388833713: 1.685318454401205, 1.1468877086034077: 1.7226920368029757, 1.264849574634531: 1.5031751774678812, 1.3929481787324567: 1.353698036865288, 1.5350068598594058: 1.2477939935610594, 1.6903981992415713: 1.2336655861038834, 1.8636147151301268: 1.2197023421211577, 2.0503577106692994: 1.1508041118851373, 2.2582904462754994: 1.0825698367391368, 2.4882567851693818: 1.0466558189093544, 2.743169888078558: 1.0265701773192735, 3.020061044131109: 0.9891858054690624, 3.3282966306643207: 0.9544694929863019, 3.6669535816782433: 0.9227072324647433, 4.035695897794454: 0.8727463464769961, 4.447219020906603: 0.7902245016174697, 4.897790264731786: 0.7659728892907908, 5.396222308828724: 0.774218067314189, 5.942377066019867: 0.7650893514719086, 6.544611608967245: 0.7393702983689138, 7.208262708502412: 0.719887578171443, 7.9346017663125945: 0.6185570175679617, 8.736240441122092: 0.5367107746677601, 9.61961408594742: 0.5077268071679827, 10.596251261310593: 0.48111973590775553, 11.663109537206113: 0.44866616385090674, 12.84699306811967: 0.4301904017798395}"
San Antonio,"{1.6705458257297783: 2.101319792658243, 1.7398611597864508: 2.051444757054495, 2.11801141794437: 1.8906664042439651, 2.571180759117276: 1.7568966056459063, 3.1148124076442043: 1.6180602257586574, 3.7742244602587314: 1.4619956711215656, 4.581460211164307: 1.2933735603700602, 5.546320062709151: 1.1668083459221756, 6.720999958729216: 1.0587490038917875, 8.146013730668109: 0.9364783521470492, 9.864406814089481: 0.8517102534449617, 11.929546933654027: 0.7453962201571676, 14.42058137478652: 0.6590628344996874, 17.415865023343827: 0.5814485915870913, 20.99601233446902: 0.5461348914631659}"
San Diego,"{1.4286035554555125: 3.3298627037257806, 1.4728699347686884: 3.1070380927779246, 1.5148045132901198: 3.1113949575936086, 1.638738109375335: 3.002431353154125, 1.7693476333909288: 3.112976768313963, 1.9134852413113592: 3.234875020014761, 2.0695065976428997: 3.026499690884271, 2.238740339658305: 2.874020451192224, 2.420107701173743: 2.7069561116593124, 2.6162754160857955: 2.3720662372577186, 2.8293629269263048: 2.196831462313444, 3.0602728475533927: 2.262021526582118, 3.3109046302577236: 2.074336656376461, 3.5768851074478176: 1.9389269793424582, 3.869107997691515: 1.9848860443758296, 4.180948640820109: 1.8339657127228663, 4.523304692910931: 1.6899904464154492, 4.889810717619955: 1.6293272269107588, 5.284060248599891: 1.5533128014310504, 5.71337108654278: 1.4964723017328303, 6.181184122917583: 1.4611932385838784, 6.67923320558536: 1.4485860310205954, 7.222924893088055: 1.4283892849725686, 7.808928384757871: 1.3045669096688304, 8.436209808173917: 1.2263706467923328, 9.12808774617485: 1.165149593193383, 9.870777750950246: 1.1044650096938802, 10.672115321085018: 1.0233453260076204, 11.539726881204976: 0.9480652173807338, 12.47329632459706: 0.9259682300799862, 13.488748151153942: 0.8764339763958592, 14.579667945176444: 0.8249874211511241, 15.757982251322197: 0.7622900616672219, 17.03481126693764: 0.7099001732861964, 18.414027797269434: 0.6321179692619109, 19.919201714349676: 0.5305009114160003, 21.548264614533142: 0.4524778123213149, 23.29998449365882: 0.36805641252468735, 25.18068013718753: 0.30697071675394577, 27.2326754697802: 0.2604817846202864, 29.43192444699484: 0.2384321323249417, 31.828665815959937: 0.2360726760069316, 34.39671759516825: 0.22708502662779928, 37.14611280528134: 0.2698962263697686, 40.13778206400873: 0.30595177184354116}"
Dallas,"{1.2013217504215343: 3.008115850617955, 1.259237979361255: 2.9060489605141395, 1.265026474843584: 2.94859292331583, 1.407150836164225: 2.876079498459644, 1.5648657794429035: 2.8345976573610705, 1.7428323442628488: 2.7489716611538593, 1.94358449988445: 2.7193994703909206, 2.1664809280879664: 2.573703064168897, 2.4108947646629164: 2.2677751410029585, 2.6873476272988333: 2.038643236428137, 2.9938097019296066: 1.8844750092113118, 3.332720751179365: 1.7919092627468742, 3.7129816301609297: 1.6940309404888636, 4.139481053944427: 1.5262121519200678, 4.605788207522616: 1.4492536675940244, 5.129090980976612: 1.3695900046019402, 5.717857582850366: 1.2977993176736469, 6.36425281832732: 1.2240149527805564, 7.092534247599798: 1.1135915352860313, 7.893067408965108: 1.0342962505361377, 8.791175043833238: 0.9674730884201325, 9.793425736959588: 0.9266303836690734, 10.907113729868774: 0.8648974634919568, 12.142353633259527: 0.7741002740392948, 13.518429416920416: 0.7233697600378438, 15.054738422896698: 0.7038926390451117, 16.758298880950566: 0.6627987922209471, 18.658117189262967: 0.5947692542918822, 20.751499908747007: 0.5332087718967343, 23.100151362502675: 0.5128101765559799}"
